"word","score"
"rus",-0.139695353966513
"vessel",-0.139679600555195
"ansty",-0.139677740115369
"ws",-0.139660039059567
"located",-0.139609053155837
"stour",-0.139548661689094
"river",-0.139546045041381
"jetty",-0.139474005846444
"spaghetti",-0.139396841371618
"baglan",-0.139363756527494
"maes",-0.139322774644709
"atlas",-0.139314251957457
"telemetry",-0.139313045335241
"cylinder",-0.139305650471598
"cc",-0.139282956392934
"tankers",-0.139270473798953
"shoeburyness",-0.139270447069261
"flax",-0.139264458740321
"compostable",-0.139244958792015
"cabins",-0.139236773586186
"armament",-0.139152955954838
"font",-0.139151045319042
"manufactures",-0.139148179654403
"basins",-0.139042449626815
"alignments",-0.139010841183144
"trentham",-0.138986946759736
"dips",-0.138981045589175
"cary",-0.138980808300135
"widnes",-0.138968245709853
"sigma",-0.138955187820816
"marshalling",-0.1389512957134
"mynydd",-0.138949051798709
"cu",-0.138928179881375
"mast",-0.138922098432227
"via",-0.138910750598295
"aerodrome",-0.138901002850991
"blockchain",-0.138874885911824
"boreholes",-0.138869777378783
"multifunctional",-0.138869568899591
"tenders",-0.138831957671599
"bd",-0.138819313109095
"operator",-0.138810581590381
"exe",-0.138801684144643
"templates",-0.13875124883308
"electro",-0.138667159018811
"straddling",-0.13858608239788
"longton",-0.138576552081317
"tc",-0.138567519388621
"aquatics",-0.138551294512428
"sited",-0.138549676415195
"bude",-0.138526587447037
"harbour",-0.138490000251626
"railway",-0.138456846995613
"linear",-0.138455353840601
"refurbishment",-0.138411532337281
"whsmith",-0.138392808817723
"cfk",-0.138390637235928
"garage",-0.138386495293884
"delphi",-0.138362027761021
"endoscopy",-0.138321365643428
"tyre",-0.138313138408415
"compartments",-0.138311900541468
"goodwood",-0.138306513598411
"etv",-0.138261517152884
"garages",-0.138175387637051
"stipends",-0.138174268750956
"standby",-0.138048920091802
"capel",-0.138007178702355
"demountable",-0.137973987018908
"alresford",-0.137966883196219
"batch",-0.137876711760268
"southfields",-0.137824036399933
"installer",-0.137802593403747
"formats",-0.137798680688933
"api",-0.137790050999399
"basin",-0.137788279454252
"pirelli",-0.137726976159064
"vancouver",-0.137685084192051
"transmitters",-0.137680145323536
"thermal",-0.13767619824209
"mhz",-0.137662794757332
"hoists",-0.137653450038964
"automate",-0.137579562054028
"alternate",-0.13755274371614
"seafront",-0.137532067215724
"printers",-0.137530622475578
"electrolysis",-0.137518702036354
"clays",-0.137503960876368
"lamberhurst",-0.137488899573327
"magnetic",-0.137480480386209
"shelton",-0.137451512238493
"hops",-0.137434043219637
"refits",-0.137392281223292
"portals",-0.137376891262093
"quarried",-0.137358143959329
"cables",-0.137339347964895
"powertrain",-0.13733265818142
"unleaded",-0.137321029166528
"hpa",-0.137313208009127
"quartile",-0.137303066208172
"hectare",-0.137283139647798
"transformer",-0.137269129944053
"domains",-0.137220393055047
"hgv",-0.137204139069349
"decorating",-0.137186048468941
"mptcs",-0.137166077520413
"rebated",-0.137163692679078
"assay",-0.137153398716532
"outfall",-0.137083321209443
"earith",-0.137075116911564
"photonics",-0.137058286379259
"ris",-0.137032921628955
"rwe",-0.137031688647913
"absorbs",-0.136997214408066
"nanotechnology",-0.136931461560227
"terrestrial",-0.136915196188027
"dstl",-0.136898005805984
"crewing",-0.136897249430133
"ghz",-0.136888412291324
"network",-0.136872584742341
"brookside",-0.136869033424035
"grid",-0.136823301272535
"culham",-0.136813101635371
"yfa",-0.136808866403821
"mileage",-0.13680449486011
"duper",-0.136798327600711
"productions",-0.136794413540734
"computed",-0.136736315100987
"woodchurch",-0.136728569563712
"blackmoor",-0.136726874308197
"gen",-0.136620432529051
"bourton",-0.13658583016493
"coatings",-0.136580615646167
"hyundai",-0.136555404123963
"brean",-0.136548476927408
"variants",-0.136532775267929
"egremont",-0.136494331962611
"retractable",-0.136493082182433
"hednesford",-0.136479741681435
"priors",-0.136457149731614
"craft",-0.136430394945327
"dredgings",-0.136417362443348
"operators",-0.136373332952844
"layout",-0.136337211888154
"sawmill",-0.136332485655192
"pools",-0.136284156405857
"dtr",-0.136283863342217
"hamworthy",-0.136257062104251
"portaferry",-0.136235915618955
"rushenden",-0.136210377569411
"kiosks",-0.136173223713932
"spaceflight",-0.136172196500543
"locations",-0.136161439373968
"ingredients",-0.136148519346014
"gate",-0.136146296257852
"barkingside",-0.136145347825035
"cruise",-0.136116860793594
"frigate",-0.136108209929288
"henbury",-0.13610108039288
"transporter",-0.136081390301961
"sentinel",-0.136042684238648
"zebra",-0.136032582948346
"ulevs",-0.136023435185318
"northstowe",-0.136023000392482
"networked",-0.136009637660242
"concessionaire",-0.136004997517792
"floating",-0.135986484835746
"aerodromes",-0.135980427031205
"buoys",-0.135978132601407
"cycleway",-0.135977916504394
"station",-0.135962892284796
"installs",-0.135924512710814
"dupont",-0.135921914743889
"lagavulin",-0.135905843822475
"liskeard",-0.135900592946304
"telecommunications",-0.13587009536853
"towing",-0.135842102897283
"oulton",-0.135827068677115
"oyster",-0.135824399591021
"hectolitre",-0.135820942138882
"mrc",-0.135808455287544
"tipner",-0.135792383997275
"marden",-0.135789459396173
"flyover",-0.135770831109896
"mwe",-0.135754219423786
"dreadnought",-0.135727033953765
"trialling",-0.135695900069609
"pipeline",-0.135611090623771
"clay",-0.135609014811101
"accommodata",-0.13547243599708
"provisionally",-0.135440611381747
"seaham",-0.135408390491175
"purchased",-0.135392347542696
"pembury",-0.135387850711923
"oven",-0.135380492905509
"powered",-0.13535535220889
"willerby",-0.13535428266765
"wmik",-0.135335271233886
"amp",-0.135330705020202
"coins",-0.135324588783724
"concentrators",-0.135322523467543
